,time,user_name,viewer_count
457,2021-12-03T17:16:26.998490,Mrhappy1227,7854
458,2021-12-03T17:16:26.998490,NeVeR_LosEs,7676
459,2021-12-03T17:16:26.998490,풍월량,7626
460,2021-12-03T17:16:44.660561,Dota2RuHub,36319
461,2021-12-03T17:16:44.660561,Trainwreckstv,20647
462,2021-12-03T17:16:44.660561,stylishnoob4,16113
463,2021-12-03T17:16:44.660561,RiotGames_Korea,14599
464,2021-12-03T17:16:44.660561,BeyondTheSummit,13056
465,2021-12-03T17:16:44.660561,FPSThailand,12327
466,2021-12-03T17:16:44.660561,fps_shaka,12041
467,2021-12-03T17:16:44.660561,DreadzTV,11648
468,2021-12-03T17:16:44.660561,zackrawrr,11510
469,2021-12-03T17:16:44.660561,chowh1,11405
470,2021-12-03T17:16:44.660561,Fextralife,10918
471,2021-12-03T17:16:44.660561,Amouranth,10401
472,2021-12-03T17:16:44.660561,Yogscast,9764
473,2021-12-03T17:16:44.660561,sinatraa,9744
474,2021-12-03T17:16:44.660561,Ponce,9679
475,2021-12-03T17:16:44.660561,Shaunz,9131
476,2021-12-03T17:16:44.660561,SilverName,8903
477,2021-12-03T17:16:44.660561,Mrhappy1227,7854
478,2021-12-03T17:16:44.660561,NeVeR_LosEs,7676
479,2021-12-03T17:16:44.660561,풍월량,7626
480,2021-12-03T17:16:55.046268,Dota2RuHub,36319
481,2021-12-03T17:16:55.046268,Trainwreckstv,20647
482,2021-12-03T17:16:55.046268,stylishnoob4,16113
483,2021-12-03T17:16:55.046268,RiotGames_Korea,14599
484,2021-12-03T17:16:55.046268,BeyondTheSummit,13056
485,2021-12-03T17:16:55.046268,FPSThailand,12327
486,2021-12-03T17:16:55.046268,fps_shaka,12041
487,2021-12-03T17:16:55.046268,DreadzTV,11648
488,2021-12-03T17:16:55.046268,zackrawrr,11510
489,2021-12-03T17:16:55.046268,chowh1,11405
490,2021-12-03T17:16:55.046268,Fextralife,10918
491,2021-12-03T17:16:55.046268,Amouranth,10401
492,2021-12-03T17:16:55.046268,Yogscast,9764
493,2021-12-03T17:16:55.046268,sinatraa,9744
494,2021-12-03T17:16:55.046268,Ponce,9679
495,2021-12-03T17:16:55.046268,Shaunz,9131
496,2021-12-03T17:16:55.046268,SilverName,8903
